id,sector,skills,education,location
263,Agriculture,Agribusiness; Crop Management; Farm Mechanization; Irrigation Systems; Soil Science; Fertilizer Application,B.Sc Agriculture,Rajkot
264,Gems & Jewellery,Retail Management; Gemology; Merchandising,Diploma Jewellery Design,Bhopal
265,Finance/Banking,Risk Management; Excel; Data Analysis; Accounting; Investment Banking; Financial Analysis,CA,Thane
266,Education,Assessment Design; Teaching; Educational Research; Public Speaking; Classroom Management; Curriculum Development,PhD Education,Ghaziabad
267,IT/Software,Python; Data Analysis; Web Development,MCA,Kolkata
268,Defence,Military Tactics; Strategic Planning; Cybersecurity; Weapon Systems; Aerospace Engineering; Navigation Systems,B.Tech Electronics,Bhopal
269,Finance/Banking,Financial Analysis; Excel; Investment Banking; Risk Management; Accounting,MBA Finance,Hyderabad
270,Housing/Infrastructure,Project Management; Structural Analysis; Civil Engineering; Construction Management,B.Tech Civil,Ghaziabad
271,Agriculture,Soil Science; Agribusiness; Irrigation Systems; Farm Mechanization,B.Sc Agriculture,Kalyan
272,Housing/Infrastructure,Project Management; Construction Management; Civil Engineering,Diploma Civil,Visakhapatnam
273,Travel & Logistics,Transportation Planning; Supply Chain; Operations Management,BBA,Nagpur
274,Education,Educational Research; Assessment Design; Curriculum Development; Public Speaking; Classroom Management,M.Ed,Aurangabad
275,FMCG,Marketing; Product Management; Brand Management; Consumer Behaviour; Supply Chain; Sales,BBA,Gwalior
276,Finance/Banking,Investment Banking; Data Analysis; Accounting,MBA Finance,Guwahati
277,Education,Public Speaking; Curriculum Development; Classroom Management,PhD Education,Howrah
278,Education,Curriculum Development; Educational Research; Assessment Design; Teaching,B.Ed,Aligarh
279,FMCG,Sales; Marketing; Product Management; Brand Management; Supply Chain,Diploma Business Management,Varanasi
280,Design,Illustration; 3D Modeling; AutoCAD; UI/UX; Adobe Photoshop,B.Des,Bareilly
281,Design,3D Modeling; Graphic Design; AutoCAD; UI/UX; Illustration; Adobe Photoshop,M.Des,Ludhiana
282,Gems & Jewellery,Quality Control; CAD Design; Merchandising; Gemology,Diploma Jewellery Design,Kolkata
283,Research,Laboratory Techniques; Experimentation; Data Analysis,PhD,Delhi
284,Healthcare,Surgery Assistance; Phlebotomy; Clinical Research,Diploma in Medical Lab Technology,Gwalior
285,Design,Illustration; AutoCAD; Adobe Photoshop; Graphic Design; UI/UX,Diploma in Design,Allahabad
286,Gems & Jewellery,Merchandising; Quality Control; Jewellery Design,Diploma Jewellery Design,Vadodara
287,Travel & Logistics,Warehouse Management; Transportation Planning; Inventory Management,MBA Operations,Hyderabad
288,Education,Teaching; Educational Research; Public Speaking; Assessment Design,PhD Education,Rajkot
289,Healthcare,Clinical Research; Nursing; Surgery Assistance,MD,Navi Mumbai
290,FMCG,Product Management; Marketing; Brand Management,Diploma Business Management,Vadodara
291,Travel & Logistics,Inventory Management; Operations Management; Supply Chain; Transportation Planning; Customer Service,BBA,Kanpur
292,Travel & Logistics,Supply Chain; Transportation Planning; Inventory Management; Warehouse Management; Customer Service; Operations Management,BBA,Mumbai
293,Travel & Logistics,Operations Management; Inventory Management; Supply Chain; Transportation Planning,MBA Operations,Guwahati
294,Healthcare,Public Health; Nursing; Surgery Assistance; Phlebotomy,B.Sc Nursing,Jabalpur
295,IT/Software,Machine Learning; Cybersecurity; C++; SQL,MCA,Visakhapatnam
296,Research,Data Analysis; Machine Learning; Experimentation; Laboratory Techniques; Scientific Writing; Statistics,M.Sc Research Methodology,Guwahati
297,Healthcare,Surgery Assistance; Patient Care; Clinical Research; Public Health; Nursing; Phlebotomy,MBBS,Nagpur
298,Research,Statistics; Scientific Writing; Laboratory Techniques; Data Analysis; Experimentation,M.Sc Research Methodology,Nashik
299,IT/Software,Cybersecurity; Java; C++,MCA,Lucknow
300,Education,Assessment Design; Educational Research; Curriculum Development; Teaching,M.Ed,Vadodara
301,IT/Software,Cloud Computing; Java; Data Analysis,MCA,Nagpur
302,Design,UI/UX; AutoCAD; Illustration; Adobe Photoshop; 3D Modeling; Graphic Design,Diploma in Design,Varanasi
303,Defence,Military Tactics; Weapon Systems; Aerospace Engineering; Navigation Systems,B.Tech Mechanical,Aligarh
304,Design,Graphic Design; Adobe Photoshop; UI/UX,M.Des,Jodhpur
305,Agriculture,Farm Mechanization; Fertilizer Application; Agribusiness,M.Sc Agriculture,Vadodara
306,Agriculture,Irrigation Systems; Crop Management; Farm Mechanization; Agribusiness; Soil Science; Fertilizer Application,Diploma Agriculture,Aurangabad
307,Agriculture,Agribusiness; Crop Management; Farm Mechanization; Fertilizer Application; Irrigation Systems,Diploma Agriculture,Jodhpur
308,Finance/Banking,Data Analysis; Accounting; Financial Analysis,B.Com,Vadodara
309,Research,Experimentation; Data Analysis; Laboratory Techniques; Statistics; Machine Learning,M.Sc Research Methodology,Indore
310,Travel & Logistics,Warehouse Management; Customer Service; Transportation Planning,MBA Operations,Allahabad
311,Education,Curriculum Development; Educational Research; Teaching; Assessment Design; Public Speaking,PhD Education,Jabalpur
312,Healthcare,Patient Care; Phlebotomy; Nursing; Surgery Assistance; Public Health; Clinical Research,Diploma in Medical Lab Technology,Agra
313,Gems & Jewellery,Quality Control; Gemology; Retail Management; CAD Design; Merchandising; Jewellery Design,Certificate in Gemology,Raipur
314,Design,Illustration; Adobe Photoshop; AutoCAD; Graphic Design; UI/UX,B.Des,Jodhpur
315,Defence,Military Tactics; Cybersecurity; Aerospace Engineering; Weapon Systems,B.Tech Electronics,Jabalpur
316,Housing/Infrastructure,Civil Engineering; Construction Management; AutoCAD; Project Management; Structural Analysis,B.Tech Civil,Chandigarh
317,Agriculture,Irrigation Systems; Soil Science; Farm Mechanization; Agribusiness,M.Sc Agriculture,Aligarh
318,Pharamaceutical,Clinical Trials; Regulatory Affairs; Drug Development,M.Pharm,Vadodara
319,Pharamaceutical,Pharmacology; Regulatory Affairs; Medical Research; Quality Control,B.Pharm,Ranchi
320,Pharamaceutical,Quality Control; Pharmacology; Drug Development,PhD Pharmacy,Kalyan
321,Design,UI/UX; 3D Modeling; Adobe Photoshop; Illustration; Graphic Design,Diploma in Design,Thane
322,FMCG,Consumer Behaviour; Sales; Brand Management; Marketing; Product Management; Supply Chain,MBA Marketing,Ranchi
323,Finance/Banking,Financial Analysis; Excel; Accounting; Investment Banking; Risk Management,CA,Guwahati
324,Housing/Infrastructure,AutoCAD; Civil Engineering; Project Management; Structural Analysis,Diploma Civil,Visakhapatnam
325,Gems & Jewellery,Retail Management; Gemology; Merchandising; Quality Control,Certificate in Gemology,Bhopal
326,Research,Statistics; Data Analysis; Laboratory Techniques; Scientific Writing,PhD,Dhanbad
327,Defence,Strategic Planning; Military Tactics; Weapon Systems; Navigation Systems; Aerospace Engineering,B.Tech Electronics,Guwahati
328,Chemical Industries,Material Science; Safety Management; Quality Control; Industrial Chemistry; Process Design; Chemical Engineering,M.Sc Chemistry,Meerut
329,Defence,Strategic Planning; Weapon Systems; Military Tactics,Defence Studies,Ghaziabad
330,Chemical Industries,Chemical Engineering; Safety Management; Industrial Chemistry; Material Science; Quality Control; Process Design,M.Sc Chemistry,Allahabad
331,Pharamaceutical,Pharmacology; Drug Development; Medical Research; Clinical Trials; Regulatory Affairs; Quality Control,B.Pharm,Mumbai
332,Pharamaceutical,Regulatory Affairs; Medical Research; Clinical Trials; Quality Control; Pharmacology,M.Pharm,Vadodara
333,Pharamaceutical,Pharmacology; Regulatory Affairs; Clinical Trials; Medical Research,M.Pharm,Thane
334,Education,Teaching; Classroom Management; Curriculum Development; Public Speaking; Assessment Design; Educational Research,M.Ed,Aurangabad
335,Education,Assessment Design; Teaching; Public Speaking; Classroom Management; Curriculum Development; Educational Research,PhD Education,Nagpur
336,Gems & Jewellery,CAD Design; Retail Management; Jewellery Design,B.Des Jewellery,Amritsar
337,Finance/Banking,Excel; Data Analysis; Accounting,B.Com,Visakhapatnam
338,Gems & Jewellery,Gemology; Jewellery Design; Merchandising; CAD Design,Diploma Jewellery Design,Raipur
339,Pharamaceutical,Pharmacology; Clinical Trials; Quality Control; Drug Development,M.Pharm,Bareilly
340,Pharamaceutical,Quality Control; Clinical Trials; Pharmacology; Drug Development; Medical Research; Regulatory Affairs,B.Pharm,Indore
341,Finance/Banking,Investment Banking; Risk Management; Auditing; Data Analysis,B.Com,Guwahati
342,Education,Assessment Design; Classroom Management; Teaching; Educational Research,M.Ed,Ludhiana
343,Travel & Logistics,Inventory Management; Transportation Planning; Operations Management; Warehouse Management; Customer Service,MBA Operations,Kolkata
344,FMCG,Brand Management; Supply Chain; Product Management; Sales,Diploma Business Management,Bareilly
345,IT/Software,Machine Learning; Java; Data Analysis,B.Tech Information Technology,Kota
346,FMCG,Consumer Behaviour; Product Management; Supply Chain; Marketing,Diploma Business Management,Raipur
347,Chemical Industries,Quality Control; Process Design; Chemical Engineering; Industrial Chemistry,M.Sc Chemistry,Kota
348,Chemical Industries,Safety Management; Process Design; Industrial Chemistry; Chemical Engineering,M.Sc Chemistry,Hubli
349,FMCG,Marketing; Supply Chain; Sales,BBA,Rajkot
350,Defence,Cybersecurity; Navigation Systems; Aerospace Engineering; Strategic Planning,B.Tech Electronics,Aurangabad
351,Healthcare,Nursing; Phlebotomy; Surgery Assistance; Clinical Research; Patient Care,MD,Srinagar
352,Defence,Strategic Planning; Military Tactics; Cybersecurity,Defence Studies,Ranchi
353,FMCG,Supply Chain; Product Management; Marketing; Brand Management; Sales,MBA Marketing,Chennai
354,Chemical Industries,Industrial Chemistry; Process Design; Chemical Engineering; Material Science; Safety Management; Quality Control,M.Sc Chemistry,Ahmedabad
355,IT/Software,Python; Java; C++; SQL; Web Development; Cloud Computing,B.Tech Information Technology,Chennai
356,Gems & Jewellery,Merchandising; Gemology; Retail Management,Certificate in Gemology,Hubli
357,Research,Scientific Writing; Statistics; Data Analysis; Laboratory Techniques; Experimentation; Machine Learning,M.Sc Research Methodology,Jabalpur
358,Chemical Industries,Industrial Chemistry; Material Science; Safety Management; Quality Control,B.Tech Chemical Engineering,Agra
359,Housing/Infrastructure,Structural Analysis; Civil Engineering; Urban Planning,M.Tech Structural Engineering,Jodhpur
360,Healthcare,Surgery Assistance; Nursing; Phlebotomy; Clinical Research; Public Health,B.Sc Nursing,Srinagar
361,Housing/Infrastructure,Structural Analysis; Civil Engineering; Urban Planning; AutoCAD; Project Management; Construction Management,B.Tech Civil,Ghaziabad
362,Chemical Industries,Industrial Chemistry; Safety Management; Quality Control; Material Science; Process Design,M.Sc Chemistry,Patna
363,Agriculture,Farm Mechanization; Crop Management; Fertilizer Application; Agribusiness,Diploma Agriculture,Srinagar
364,Travel & Logistics,Customer Service; Warehouse Management; Supply Chain; Operations Management; Inventory Management,MBA Operations,Chandigarh
365,Healthcare,Phlebotomy; Public Health; Nursing; Patient Care; Clinical Research,Diploma in Medical Lab Technology,Aurangabad
366,Healthcare,Phlebotomy; Surgery Assistance; Nursing; Clinical Research,MBBS,Howrah
367,Research,Statistics; Data Analysis; Machine Learning; Experimentation,M.Tech,Delhi
368,FMCG,Sales; Marketing; Consumer Behaviour,Diploma Business Management,Aligarh
369,Finance/Banking,Financial Analysis; Data Analysis; Accounting; Investment Banking; Auditing; Excel,CA,Solapur
370,Pharamaceutical,Quality Control; Drug Development; Clinical Trials; Pharmacology,M.Pharm,Nashik
371,Design,Illustration; Adobe Photoshop; Graphic Design; 3D Modeling; AutoCAD; UI/UX,M.Des,Chandigarh
372,Healthcare,Patient Care; Surgery Assistance; Public Health; Clinical Research,B.Sc Nursing,Jaipur
373,Design,UI/UX; Adobe Photoshop; Graphic Design; Illustration; 3D Modeling,M.Des,Kanpur
374,FMCG,Consumer Behaviour; Product Management; Marketing; Sales,BBA,Navi Mumbai
375,IT/Software,Web Development; Cloud Computing; Cybersecurity; Java; Python; Data Analysis,MCA,Ahmedabad
376,Travel & Logistics,Customer Service; Operations Management; Transportation Planning,MBA Operations,Gwalior
377,FMCG,Sales; Brand Management; Product Management; Marketing,BBA,Rajkot
378,Research,Data Analysis; Laboratory Techniques; Machine Learning; Scientific Writing; Statistics; Experimentation,M.Tech,Amritsar
379,Design,Graphic Design; 3D Modeling; Illustration; Adobe Photoshop; AutoCAD; UI/UX,Diploma in Design,Varanasi
380,Finance/Banking,Excel; Risk Management; Financial Analysis; Accounting,CA,Ludhiana
381,Design,UI/UX; Illustration; AutoCAD; Graphic Design; Adobe Photoshop,Diploma in Design,Nagpur
382,Travel & Logistics,Operations Management; Inventory Management; Transportation Planning; Supply Chain; Warehouse Management,Diploma Logistics,Indore
383,Chemical Industries,Material Science; Industrial Chemistry; Quality Control; Chemical Engineering,B.Tech Chemical Engineering,Howrah
384,FMCG,Consumer Behaviour; Product Management; Brand Management; Supply Chain; Sales,Diploma Business Management,Indore
385,Pharamaceutical,Medical Research; Regulatory Affairs; Drug Development; Quality Control,PhD Pharmacy,Kota
386,Finance/Banking,Investment Banking; Financial Analysis; Excel,CA,Bareilly
387,Agriculture,Soil Science; Agribusiness; Farm Mechanization,B.Sc Agriculture,Amritsar
388,IT/Software,Web Development; SQL; Java,B.Tech Information Technology,Dhanbad
389,Gems & Jewellery,Gemology; Jewellery Design; Quality Control; CAD Design; Retail Management,Diploma Jewellery Design,Ahmedabad
390,Defence,Cybersecurity; Strategic Planning; Military Tactics; Weapon Systems,B.Tech Electronics,Howrah
391,Housing/Infrastructure,Urban Planning; Structural Analysis; Construction Management; Project Management; AutoCAD,M.Tech Structural Engineering,Hyderabad
392,Defence,Cybersecurity; Aerospace Engineering; Military Tactics; Navigation Systems; Weapon Systems,B.Tech Electronics,Solapur
393,Design,UI/UX; Graphic Design; AutoCAD; Illustration; 3D Modeling; Adobe Photoshop,M.Des,Lucknow
394,Travel & Logistics,Transportation Planning; Operations Management; Inventory Management; Customer Service,MBA Operations,Indore
395,Healthcare,Phlebotomy; Nursing; Patient Care,B.Sc Nursing,Bareilly
396,Chemical Industries,Safety Management; Quality Control; Chemical Engineering; Material Science; Industrial Chemistry,B.Tech Chemical Engineering,Aurangabad
397,Research,Experimentation; Data Analysis; Statistics; Laboratory Techniques,M.Tech,Mumbai
398,Finance/Banking,Excel; Investment Banking; Data Analysis; Accounting; Financial Analysis,CA,Thane
399,Agriculture,Agribusiness; Irrigation Systems; Crop Management,Diploma Agriculture,Lucknow
400,Travel & Logistics,Operations Management; Supply Chain; Warehouse Management; Inventory Management,BBA,Allahabad
401,Research,Experimentation; Scientific Writing; Data Analysis; Statistics; Laboratory Techniques; Machine Learning,PhD,Solapur
402,Design,AutoCAD; 3D Modeling; UI/UX; Illustration; Graphic Design,B.Des,Rajkot
403,Agriculture,Crop Management; Irrigation Systems; Fertilizer Application; Farm Mechanization; Soil Science; Agribusiness,M.Sc Agriculture,Jaipur
404,Agriculture,Fertilizer Application; Irrigation Systems; Soil Science; Agribusiness,B.Sc Agriculture,Patna
405,Healthcare,Patient Care; Surgery Assistance; Nursing,MD,Agra
406,FMCG,Marketing; Consumer Behaviour; Brand Management; Product Management; Supply Chain,BBA,Bhopal
407,Defence,Navigation Systems; Strategic Planning; Cybersecurity; Weapon Systems,Defence Studies,Kalyan
408,Pharamaceutical,Regulatory Affairs; Medical Research; Clinical Trials,PhD Pharmacy,Bareilly
409,Finance/Banking,Data Analysis; Excel; Accounting; Risk Management,MBA Finance,Jabalpur
410,Design,Graphic Design; UI/UX; Illustration,B.Des,Tiruchirappalli
411,Education,Assessment Design; Curriculum Development; Educational Research,PhD Education,Meerut
412,Defence,Cybersecurity; Military Tactics; Aerospace Engineering; Navigation Systems; Weapon Systems,Defence Studies,Navi Mumbai
413,Defence,Cybersecurity; Strategic Planning; Navigation Systems; Aerospace Engineering; Weapon Systems,B.Tech Mechanical,Lucknow
414,Chemical Industries,Industrial Chemistry; Chemical Engineering; Process Design; Quality Control,M.Sc Chemistry,Ranchi
415,IT/Software,Cloud Computing; C++; Web Development,B.Tech Computer Science,Aurangabad
416,Healthcare,Nursing; Public Health; Clinical Research; Surgery Assistance; Phlebotomy,Diploma in Medical Lab Technology,Jodhpur
417,Finance/Banking,Risk Management; Accounting; Investment Banking,B.Com,Aligarh
418,Defence,Cybersecurity; Navigation Systems; Aerospace Engineering; Military Tactics,B.Tech Electronics,Raipur
419,Research,Statistics; Experimentation; Laboratory Techniques; Data Analysis; Machine Learning; Scientific Writing,PhD,Kolkata
420,Gems & Jewellery,Retail Management; Gemology; Quality Control; Jewellery Design; Merchandising,B.Des Jewellery,Delhi
421,Agriculture,Crop Management; Fertilizer Application; Agribusiness,Diploma Agriculture,Dhanbad
422,Housing/Infrastructure,Construction Management; Civil Engineering; AutoCAD; Structural Analysis; Urban Planning; Project Management,B.Tech Civil,Mysore
423,FMCG,Consumer Behaviour; Brand Management; Sales; Product Management; Marketing,MBA Marketing,Meerut
424,Travel & Logistics,Customer Service; Supply Chain; Inventory Management; Warehouse Management; Transportation Planning; Operations Management,Diploma Logistics,Hubli
425,Travel & Logistics,Supply Chain; Transportation Planning; Warehouse Management,Diploma Logistics,Hubli
426,Education,Public Speaking; Curriculum Development; Assessment Design; Teaching; Educational Research; Classroom Management,PhD Education,Agra
427,Education,Public Speaking; Teaching; Assessment Design; Curriculum Development; Educational Research; Classroom Management,B.Ed,Allahabad
428,Defence,Aerospace Engineering; Military Tactics; Weapon Systems; Cybersecurity; Strategic Planning,B.Tech Electronics,Thane
429,Gems & Jewellery,Quality Control; Jewellery Design; Merchandising; Gemology; CAD Design; Retail Management,Certificate in Gemology,Visakhapatnam
430,Chemical Industries,Chemical Engineering; Safety Management; Material Science; Process Design; Industrial Chemistry,B.Tech Chemical Engineering,Meerut
431,Education,Curriculum Development; Teaching; Public Speaking; Assessment Design,M.Ed,Kota
432,Agriculture,Agribusiness; Fertilizer Application; Crop Management; Farm Mechanization,B.Sc Agriculture,Thane
433,IT/Software,C++; Machine Learning; Cybersecurity,MCA,Hubli
434,Travel & Logistics,Warehouse Management; Transportation Planning; Inventory Management; Supply Chain; Operations Management; Customer Service,BBA,Faridabad
435,Finance/Banking,Excel; Investment Banking; Auditing; Financial Analysis,B.Com,Lucknow
436,Agriculture,Soil Science; Agribusiness; Irrigation Systems; Farm Mechanization,M.Sc Agriculture,Patna
437,FMCG,Marketing; Supply Chain; Consumer Behaviour,Diploma Business Management,Amritsar
438,Finance/Banking,Accounting; Auditing; Investment Banking,MBA Finance,Madurai
439,Travel & Logistics,Inventory Management; Customer Service; Operations Management; Warehouse Management,BBA,Srinagar
440,Finance/Banking,Accounting; Risk Management; Financial Analysis; Investment Banking; Data Analysis; Auditing,MBA Finance,Amritsar
441,Pharamaceutical,Medical Research; Pharmacology; Drug Development; Regulatory Affairs,M.Pharm,Madurai
442,Finance/Banking,Accounting; Auditing; Risk Management,B.Com,Aurangabad
443,Agriculture,Crop Management; Soil Science; Irrigation Systems,Diploma Agriculture,Aurangabad
444,Housing/Infrastructure,Structural Analysis; Urban Planning; Project Management; Civil Engineering,M.Tech Structural Engineering,Nagpur
445,Design,UI/UX; Illustration; Graphic Design,M.Des,Navi Mumbai
446,FMCG,Product Management; Supply Chain; Consumer Behaviour; Sales; Brand Management; Marketing,BBA,Srinagar
447,Travel & Logistics,Transportation Planning; Warehouse Management; Supply Chain; Operations Management,Diploma Logistics,Hyderabad
448,Travel & Logistics,Inventory Management; Transportation Planning; Customer Service,MBA Operations,Ludhiana
449,Housing/Infrastructure,Structural Analysis; Construction Management; Urban Planning,Diploma Civil,Allahabad
450,Finance/Banking,Data Analysis; Investment Banking; Auditing; Accounting; Financial Analysis,B.Com,Kota
451,Design,AutoCAD; Adobe Photoshop; Graphic Design; UI/UX; Illustration; 3D Modeling,Diploma in Design,Chandigarh
452,Chemical Industries,Process Design; Industrial Chemistry; Material Science; Chemical Engineering; Quality Control,M.Sc Chemistry,Gwalior
453,Healthcare,Nursing; Clinical Research; Phlebotomy,B.Sc Nursing,Chennai
454,Gems & Jewellery,Jewellery Design; Retail Management; Merchandising; CAD Design,B.Des Jewellery,Jaipur
455,IT/Software,SQL; Python; Java; Data Analysis,B.Tech Information Technology,Kalyan
456,Research,Experimentation; Data Analysis; Machine Learning; Laboratory Techniques,M.Sc Research Methodology,Kolkata
457,Research,Statistics; Data Analysis; Laboratory Techniques; Machine Learning; Scientific Writing,M.Sc Research Methodology,Ranchi
458,Travel & Logistics,Warehouse Management; Transportation Planning; Inventory Management,Diploma Logistics,Howrah
459,Gems & Jewellery,Retail Management; Jewellery Design; Quality Control; Merchandising,Diploma Jewellery Design,Visakhapatnam
460,Travel & Logistics,Operations Management; Inventory Management; Transportation Planning; Warehouse Management,Diploma Logistics,Bhopal
461,Design,UI/UX; Graphic Design; Adobe Photoshop; AutoCAD; Illustration,Diploma in Design,Jabalpur
462,Healthcare,Patient Care; Nursing; Clinical Research; Public Health; Surgery Assistance; Phlebotomy,MD,Gwalior
463,Chemical Industries,Quality Control; Material Science; Process Design; Safety Management,B.Tech Chemical Engineering,Jaipur
464,Housing/Infrastructure,Construction Management; AutoCAD; Civil Engineering; Urban Planning,B.Tech Civil,Agra
465,FMCG,Consumer Behaviour; Product Management; Brand Management; Marketing,BBA,Hyderabad
466,Research,Data Analysis; Laboratory Techniques; Machine Learning; Experimentation; Scientific Writing,M.Tech,Allahabad
467,IT/Software,C++; SQL; Data Analysis,MCA,Patna
468,Agriculture,Soil Science; Irrigation Systems; Agribusiness,M.Sc Agriculture,Jabalpur
469,Chemical Industries,Process Design; Quality Control; Material Science; Chemical Engineering; Safety Management,M.Sc Chemistry,Mysore
470,Housing/Infrastructure,Civil Engineering; Structural Analysis; AutoCAD; Project Management; Urban Planning,M.Tech Structural Engineering,Mysore
471,Housing/Infrastructure,Structural Analysis; Project Management; Civil Engineering; Construction Management; Urban Planning,M.Tech Structural Engineering,Gwalior
472,Gems & Jewellery,Quality Control; Gemology; Jewellery Design; Merchandising; Retail Management; CAD Design,Diploma Jewellery Design,Visakhapatnam
473,Travel & Logistics,Warehouse Management; Supply Chain; Customer Service; Operations Management; Transportation Planning; Inventory Management,MBA Operations,Ahmedabad
474,Housing/Infrastructure,Structural Analysis; Project Management; Construction Management,B.Tech Civil,Nashik
475,IT/Software,Data Analysis; C++; Cybersecurity; Web Development; Machine Learning,B.Tech Information Technology,Meerut
476,Finance/Banking,Data Analysis; Financial Analysis; Accounting,B.Com,Indore
477,Finance/Banking,Risk Management; Data Analysis; Financial Analysis; Auditing; Accounting; Investment Banking,B.Com,Ludhiana
478,Healthcare,Clinical Research; Patient Care; Surgery Assistance,Diploma in Medical Lab Technology,Ahmedabad
479,Defence,Weapon Systems; Strategic Planning; Cybersecurity; Military Tactics; Aerospace Engineering,B.Tech Mechanical,Raipur
480,Travel & Logistics,Warehouse Management; Operations Management; Customer Service,MBA Operations,Rajkot
481,Design,Illustration; Graphic Design; AutoCAD; Adobe Photoshop; 3D Modeling; UI/UX,B.Des,Navi Mumbai
482,Pharamaceutical,Drug Development; Clinical Trials; Medical Research; Pharmacology; Quality Control,M.Pharm,Allahabad
483,Chemical Industries,Safety Management; Industrial Chemistry; Material Science; Quality Control; Chemical Engineering,M.Sc Chemistry,Howrah
484,Housing/Infrastructure,Construction Management; Project Management; Structural Analysis; Urban Planning; AutoCAD; Civil Engineering,B.Tech Civil,Tiruchirappalli
485,IT/Software,Web Development; Cybersecurity; Java,B.Tech Computer Science,Ranchi
486,Research,Machine Learning; Statistics; Scientific Writing; Experimentation,M.Tech,Vadodara
487,IT/Software,Cybersecurity; Java; Web Development; C++; Data Analysis,B.Tech Information Technology,Visakhapatnam
488,FMCG,Sales; Product Management; Brand Management; Marketing,MBA Marketing,Tiruchirappalli
489,Defence,Cybersecurity; Military Tactics; Navigation Systems; Weapon Systems; Aerospace Engineering; Strategic Planning,Defence Studies,Hyderabad
490,Defence,Aerospace Engineering; Weapon Systems; Navigation Systems; Cybersecurity; Military Tactics; Strategic Planning,B.Tech Mechanical,Indore
491,Education,Classroom Management; Teaching; Assessment Design,PhD Education,Mumbai
492,Gems & Jewellery,Quality Control; Jewellery Design; CAD Design,Diploma Jewellery Design,Ranchi
493,Gems & Jewellery,Merchandising; Jewellery Design; Retail Management; Gemology; Quality Control,Certificate in Gemology,Dhanbad
494,Agriculture,Fertilizer Application; Soil Science; Irrigation Systems; Crop Management; Agribusiness; Farm Mechanization,M.Sc Agriculture,Kolkata
495,Agriculture,Agribusiness; Farm Mechanization; Soil Science; Irrigation Systems,B.Sc Agriculture,Chandigarh
496,Gems & Jewellery,CAD Design; Jewellery Design; Merchandising,Certificate in Gemology,Tiruchirappalli
497,Travel & Logistics,Warehouse Management; Operations Management; Inventory Management; Transportation Planning,MBA Operations,Varanasi
498,Gems & Jewellery,CAD Design; Retail Management; Merchandising; Jewellery Design; Quality Control; Gemology,B.Des Jewellery,Hyderabad
499,Pharamaceutical,Regulatory Affairs; Drug Development; Medical Research; Pharmacology; Clinical Trials,B.Pharm,Ludhiana
500,Education,Classroom Management; Public Speaking; Curriculum Development; Teaching,M.Ed,Solapur
501,Healthcare,Nursing; Phlebotomy; Surgery Assistance,MBBS,Bareilly
502,Defence,Navigation Systems; Military Tactics; Aerospace Engineering; Cybersecurity; Strategic Planning,Defence Studies,Raipur
503,Pharamaceutical,Clinical Trials; Medical Research; Drug Development,B.Pharm,Thane
504,IT/Software,SQL; Java; Python; Machine Learning; Web Development; Data Analysis,MCA,Howrah
505,IT/Software,Python; Cybersecurity; C++,MCA,Jabalpur
506,Pharamaceutical,Regulatory Affairs; Pharmacology; Drug Development; Quality Control; Medical Research,PhD Pharmacy,Gwalior
507,Gems & Jewellery,Retail Management; Jewellery Design; Quality Control; Gemology,Certificate in Gemology,Tiruchirappalli
508,Gems & Jewellery,Retail Management; Merchandising; Gemology; CAD Design; Jewellery Design,B.Des Jewellery,Mysore
509,Gems & Jewellery,Merchandising; Quality Control; Gemology; Retail Management; Jewellery Design,Certificate in Gemology,Ranchi
510,Travel & Logistics,Warehouse Management; Inventory Management; Customer Service; Operations Management; Supply Chain; Transportation Planning,MBA Operations,Kota
511,Gems & Jewellery,Jewellery Design; Gemology; Retail Management; CAD Design,B.Des Jewellery,Patna
512,Finance/Banking,Accounting; Excel; Data Analysis; Risk Management; Financial Analysis,MBA Finance,Kolkata
513,Travel & Logistics,Customer Service; Inventory Management; Supply Chain,BBA,Visakhapatnam
514,Housing/Infrastructure,Construction Management; Urban Planning; Project Management; Civil Engineering; AutoCAD,B.Tech Civil,Ghaziabad
515,Defence,Cybersecurity; Aerospace Engineering; Weapon Systems; Navigation Systems,B.Tech Electronics,Jaipur
516,Defence,Navigation Systems; Military Tactics; Strategic Planning; Cybersecurity; Weapon Systems,B.Tech Electronics,Aligarh
517,Chemical Industries,Chemical Engineering; Process Design; Industrial Chemistry,B.Tech Chemical Engineering,Varanasi
518,Housing/Infrastructure,Construction Management; Project Management; Structural Analysis; Urban Planning; Civil Engineering; AutoCAD,B.Tech Civil,Dhanbad
519,Gems & Jewellery,Merchandising; Retail Management; Jewellery Design; Gemology,B.Des Jewellery,Howrah
520,Education,Teaching; Curriculum Development; Public Speaking; Assessment Design,M.Ed,Jodhpur
521,FMCG,Brand Management; Consumer Behaviour; Supply Chain,Diploma Business Management,Ludhiana
522,Chemical Industries,Industrial Chemistry; Safety Management; Chemical Engineering,B.Tech Chemical Engineering,Gwalior
523,Agriculture,Fertilizer Application; Farm Mechanization; Crop Management; Soil Science; Irrigation Systems,Diploma Agriculture,Hubli
524,Healthcare,Surgery Assistance; Public Health; Patient Care,MBBS,Delhi
525,IT/Software,Machine Learning; SQL; Java; C++; Web Development; Python,B.Tech Information Technology,Nashik
526,Agriculture,Crop Management; Irrigation Systems; Fertilizer Application; Agribusiness,B.Sc Agriculture,Madurai
